time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2021-10-16T13:28:25Z,483,0,0,0,0,0,4010076,4013,863757,108,0,0,0,0,0,4808,75,0,0,0,0,0,2360,77,13,0,22,11,74,2448,10,0,0,0,0, ,0,0,0,0,0,0,2033,6,0,0,8593704336,5,8593512916,1,44,22,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1634390905092,3145728,0,0,0,132,1,12,1,7,1,0,0,3,2,0,0,132,1,268288,86,196386,1,0,64,9383412,1020,0,0,0,0,0,0,0,0,7,89,94158848,1,0,0,0,0,0,0,4960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T13:35:19Z,483,0,0,0,0,0,3974712,4013,828285,216,0,0,0,0,0,7392,80,0,0,0,0,0,3629,82,15,0,30,20,70,3763,10,0,0,0,0, ,0,0,0,0,0,0,3346,13,0,0,8595056060,6,8594854204,1,39,24,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1634391319064,3145728,0,0,0,139,1,12,1,7,1,0,0,3,2,0,0,139,1,232448,67,206800,1,0,64,15490355,1568,0,0,0,0,0,0,0,0,9,115,58545072,2,0,0,0,0,0,0,7541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T13:36:51Z,483,0,0,0,0,0,3195232,4013,49021,0,0,0,0,0,0,1019,10,0,0,0,0,0,489,10,7,0,12,2,14,532,9,0,0,0,0, ,0,0,0,0,0,0,248,1,0,0,8595137319,7,8595129418,1,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1634391410678,3145728,0,0,0,29,1,12,1,5,1,0,0,3,2,0,0,29,0,18432,9,8023,1,0,0,7491584,647,0,0,0,0,0,0,0,0,8,80,90722336,2,0,0,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T13:38:22Z,483,0,0,0,0,0,3183205,3422,36886,108,0,0,0,0,0,453,6,0,0,0,0,0,211,6,7,0,8,1,12,244,9,0,0,0,0, ,0,0,0,0,0,0,101,1,0,0,8595166658,8,8595162678,1,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1634391502499,3145728,0,0,0,24,1,20,1,6,1,0,0,3,2,0,0,24,1,16384,8,4102,1,0,0,5521408,419,0,0,0,0,0,0,0,0,8,93,93891424,2,0,0,0,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T13:40:19Z,483,0,0,0,0,0,3183097,3422,36886,0,0,0,0,0,0,445,6,0,0,0,0,0,207,6,7,0,8,1,12,240,8,0,0,0,0, ,0,0,0,0,0,0,101,1,0,0,8595195410,9,8595191531,1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1634391618902,3145728,0,0,0,24,1,11,1,5,1,0,0,3,2,0,0,24,0,14336,7,4001,1,0,0,5500928,415,0,0,0,0,0,0,0,0,8,103,84060144,2,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T13:41:19Z,3390,0,0,0,0,0,7692163,4013,4542421,624,0,0,0,0,0,26356,239,0,0,0,0,0,0,332,14,0,58,2,184,10542,755,0,0,0,0, ,0,0,0,0,0,0,26181,6,0,0,8595195410,9,8595191531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1634391618902,3145728,0,0,0,1740,6332,33184,6332,5,6332,0,0,3,6332,0,0,1740,3,1773568,866,92424,249,0,667,6556257,1546,1968947,6083,0,0,0,0,0,0,16,82,117711696,1,0,0,0,0,0,0,27571,0,0,0,1,0,0,0,130,0,6,0,202,0,0,0,0,0,0,0,0,0,0,19901,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T13:41:50Z,483,0,0,0,0,0,4689236,4013,1542917,108,0,0,0,0,0,15099,173,0,0,0,0,0,7453,173,14,0,65,61,118,7648,10,0,0,0,0, ,0,0,0,0,0,0,7562,7,0,0,8597955609,10,8597593624,1,80,32,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,1634391709546,3145728,0,0,0,241,1,13,1,7,1,0,0,3,2,0,0,241,1,432128,122,362107,1,0,116,26315822,2866,0,0,0,0,0,0,0,0,9,87,111637008,1,0,0,0,0,0,0,15288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T13:42:50Z,1491,0,0,0,0,0,7466248,4013,4318405,624,0,0,0,0,0,11937,190,0,0,0,0,0,0,381,15,0,77,56,253,6257,1185,0,0,0,0, ,0,0,0,0,0,0,11808,0,0,0,8597955609,10,8597593624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1634391709546,3145728,0,0,0,1942,2049,10202,2049,4,2049,0,0,3,2049,0,0,1942,3,1331200,650,65867,197,0,538,6412936,1834,532993,1852,0,0,0,0,0,0,10,53,122463928,1,0,0,0,0,0,0,14769,0,0,0,0,0,1,0,79,0,6,0,130,0,0,0,0,0,0,0,0,0,0,9826,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T13:55:44Z,483,0,0,0,0,0,4260844,4013,1114525,108,0,0,0,0,0,4328,98,0,0,0,0,0,2123,98,15,0,24,15,90,2207,10,0,0,0,0, ,0,0,0,0,0,0,2138,8,0,0,8598798330,11,8598554591,1,65,19,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1634392543871,3145728,0,0,0,182,1,10,1,7,1,0,0,3,2,0,0,182,1,403456,125,243861,1,0,84,16455767,1530,0,0,0,0,0,0,0,0,7,86,99401728,1,0,0,0,0,0,0,4517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-16T13:56:44Z,1452,0,0,0,0,0,7308777,4013,4160973,624,0,0,0,0,0,14716,203,0,0,0,0,0,0,324,15,0,24,14,262,7786,638,0,0,0,0, ,0,0,0,0,0,0,14568,0,0,0,8598798330,11,8598554591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634392543871,3145728,0,0,0,1473,2441,12889,2441,4,2441,0,0,3,2441,0,0,1473,3,1284096,627,15328,90,0,593,5922604,1443,799972,2351,0,0,0,0,0,0,8,69,146370056,2,0,0,0,0,0,0,18138,0,0,0,1,0,0,0,107,0,6,0,172,0,0,0,0,0,0,0,0,0,0,12213,0,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
